"locusName_Version1"	"locusName_Version2"	"locusName_Version3"	"Arabidopsis_homolog"	"Arabidopsis_homolog_symbol"	"Arabidopsis_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Sb01g000200"	"SORBI_3001G000100"	"Sobic.001G000100"	"AT4G05220.1"	""	"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family"	"LOC_Os07g34720.1"	"harpin-induced protein 1 domain containing protein, expressed"
"Sb01g000220"	"SORBI_3001G000400"	"Sobic.001G000400"	"AT2G36380.1"	"ATPDR6,PDR6"	"pleiotropic drug resistance 6"	"LOC_Os11g37700.1"	"pleiotropic drug resistance protein, putative, expressed"
"Sb01g000220"	"SORBI_3001G000400"	"Sobic.001G000400"	"AT1G66950.1"	"ATPDR11,PDR11"	"pleiotropic drug resistance 11"	"LOC_Os11g37700.1"	"pleiotropic drug resistance protein, putative, expressed"
"Sb01g000240"	"SORBI_3001G000800"	"Sobic.001G000800"	"AT5G23890.1"	""	""	"LOC_Os03g64400.1"	"oxidoreductase/ transition metal ion binding protein, putative, expressed"
"Sb01g000250"	"SORBI_3001G000900"	"Sobic.001G000900"	"AT5G17910.2"	""	""	"LOC_Os07g28920.1"	"expressed protein"
"Sb01g000270"	"SORBI_3001G001300"	"Sobic.001G001300"	"AT1G17850.2"	""	"Rhodanese/Cell cycle control phosphatase superfamily protein"	"LOC_Os03g64350.1"	"rhodanese-like domain containing protein, putative, expressed"
"Sb01g000290"	"SORBI_3001G001800"	"Sobic.001G001800"	""	""	""	"LOC_Os03g64310.1"	"expressed protein"
"Sb01g000330"	"SORBI_3001G002200"	"Sobic.001G002200"	"AT1G04160.1"	"ATXIB,XI-8,XI-B,XIB"	"myosin XI B"	"LOC_Os03g64290.1"	"myosin, putative, expressed"
"Sb01g000340"	"SORBI_3001G002300"	"Sobic.001G002300"	"AT1G03940.1"	""	"HXXXD-type acyl-transferase family protein"	"LOC_Os02g28300.1"	"transferase family protein, putative, expressed"
"Sb01g000350"	"SORBI_3001G002400"	"Sobic.001G002400"	"AT2G04160.1"	"AIR3"	"Subtilisin-like serine endopeptidase family protein"	"LOC_Os08g23740.1"	"OsSub55 - Putative Subtilisin homologue, expressed"
"Sb01g000365"	"SORBI_3001G002800"	"Sobic.001G002800"	"AT5G60720.1"	""	"Protein of unknown function, DUF547"	"LOC_Os03g64230.1"	"expressed protein"
"Sb01g000390"	"SORBI_3001G003200"	"Sobic.001G003200"	"AT2G36990.1"	"ATSIG6,SIG6,SIGF,SOLDAT8"	"RNApolymerase sigma-subunit F"	"LOC_Os08g14450.1"	"RNA polymerase sigma factor, putative, expressed"
"Sb01g000400"	"SORBI_3001G003300"	"Sobic.001G003300"	"AT2G28070.1"	""	"ABC-2 type transporter family protein"	"LOC_Os03g64200.1"	"ABC-2 type transporter, putative, expressed"
"Sb01g000410"	"SORBI_3001G003400"	"Sobic.001G003400"	"AT5G03380.1"	""	"Heavy metal transport/detoxification superfamily protein "	"LOC_Os02g57360.1"	"heavy metal-associated domain containing protein, expressed"
"Sb01g000440"	"SORBI_3001G003700"	"Sobic.001G003700"	"AT4G22790.1"	""	"MATE efflux family protein"	"LOC_Os03g64150.1"	"MATE efflux family protein, putative, expressed"
"Sb01g000450"	"SORBI_3001G004000"	"Sobic.001G004000"	"AT5G51670.1"	""	"Protein of unknown function (DUF668)"	"LOC_Os03g64130.1"	"avr9/Cf-9 rapidly elicited protein, putative, expressed"
"Sb01g000480"	"SORBI_3001G004300"	"Sobic.001G004300"	""	""	""	"LOC_Os03g64100.1"	"expressed protein"
"Sb01g000500"	"SORBI_3001G004500"	"Sobic.001G004500"	"AT2G37210.2"	""	"lysine decarboxylase family protein"	"LOC_Os02g41770.1"	"uncharacterized protein PA4923, putative, expressed"
"Sb01g000510"	"SORBI_3001G004600"	"Sobic.001G004600"	"AT1G26540.1"	""	"Agenet domain-containing protein"	"LOC_Os11g19730.1"	"expressed protein"
"Sb01g000530"	"SORBI_3001G004800"	"Sobic.001G004800"	"AT3G53010.1"	""	"Domain of unknown function (DUF303) "	"LOC_Os03g64050.1"	"receptor protein kinase, putative, expressed"
"Sb01g000550"	"SORBI_3001G005000"	"Sobic.001G005000"	"AT4G34215.2"	""	"Domain of unknown function (DUF303) "	"LOC_Os03g64030.1"	"receptor protein kinase, putative, expressed"
"Sb01g000570"	"SORBI_3001G005200"	"Sobic.001G005200"	"AT4G22890.4"	"PGR5-LIKE A"	"PGR5-LIKE A"	"LOC_Os03g64020.2"	"expressed protein"
"Sb01g000580"	"SORBI_3001G005300"	"Sobic.001G005300"	"AT5G51810.1"	"AT2353,ATGA20OX2,GA20OX2"	"gibberellin 20 oxidase 2"	"LOC_Os03g63970.1"	"gibberellin 20 oxidase 1, putative, expressed"
