"locusName"	"Short_description"	"Arabidopsis_homolog"	"Arabidopsis_homolog_defline"	"Clamy_homolog"	"Clamy_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Solyc00g014790"	""	""	""	""	""	""	""
"Solyc00g014850"	"orf86 (mitochondrion)"	""	""	""	""	""	""
"Solyc00g014860"	""	""	""	""	""	""	""
"Solyc00g019970"	""	""	""	""	""	""	""
"Solyc00g020010"	""	""	""	""	""	""	""
"Solyc00g020020"	""	""	""	""	""	""	""
"Solyc00g020030"	""	""	""	""	""	""	""
"Solyc00g022070"	""	""	""	""	""	""	""
"Solyc00g022090"	""	""	""	""	""	""	""
"Solyc00g022100"	"Ribosomal protein L10"	""	""	""	""	""	""
"Solyc00g025290"	"hypothetical protein ChrM:190104-190553 REVERSE LENGTH=149 201606"	"ATMG00660"	""	""	""	""	""
"Solyc00g025400"	""	""	""	""	""	""	""
"Solyc00g052430"	"Cytochrome c biogenesis FC"	""	""	""	""	""	""
"Solyc00g052530"	""	""	""	""	""	""	""
"Solyc00g052540"	""	""	""	""	""	""	""
"Solyc00g069880"	"Photosystem II CP43 reaction center protein"	""	""	""	""	""	""
"Solyc00g094520"	"orf100 (mitochondrion)"	""	""	""	""	""	""
"Solyc00g094550"	"hypothetical protein Chr2:3301041-3301624 FORWARD LENGTH=99 201606"	""	""	""	""	""	""
"Solyc00g112190"	""	""	""	""	""	""	""
"Solyc00g125980"	"NADH dehydrogenase subunit"	""	""	""	""	""	""
"Solyc00g125990"	"NADH dehydrogenase subunit 2"	"AT2G07689"	"NADH-Ubiquinone/plastoquinone (complex I) protein"	""	""	""	""
"Solyc00g126000"	"orf300 gene product (mitochondrion)"	""	""	""	""	""	""
"Solyc00g126010"	"LOW protein: NADH-ubiquinone oxidoreductase chain-like protein ChrM:329082-329465 REVERSE LENGTH=127 201606"	""	""	""	""	""	""
"Solyc00g142170"	"RNA-dependent RNA polymerase"	""	""	""	""	""	""
"Solyc00g164580"	""	""	""	""	""	""	""
"Solyc00g244290"	"NADH dehydrogenase subunit 2"	""	""	""	""	""	""
"Solyc00g244300"	""	""	""	""	""	""	""
"Solyc00g254910"	"Auxin-responsive GH3 family protein"	""	""	""	""	""	""
"Solyc01g005010"	"protein XRI1-like"	"AT2G01990"	""	""	""	"LOC_Os08g36380"	"expressed protein"
"Solyc01g005180"	"protein LITTLE ZIPPER 3"	"AT3G52770"	"protein binding"	""	""	"LOC_Os12g05560"	"expressed protein"
"Solyc01g005220"	"MACPF domain-containing protein"	"AT1G14780"	"MAC/Perforin domain-containing protein"	""	""	"LOC_Os02g50340"	"membrane attack complex component/perforin/complement C9, putative, expressed"
"Solyc01g005280"	"Sec14p-like phosphatidylinositol transfer family protein"	"AT1G14820"	"Sec14p-like phosphatidylinositol transfer family protein"	"Cre01.g055465"	"(1 of 10) PTHR10174 - RETINALDEHYDE BINDING PROTEIN-RELATED"	""	""
"Solyc01g005290"	"Sec14p-like phosphatidylinositol transfer family protein"	"AT1G14820"	"Sec14p-like phosphatidylinositol transfer family protein"	""	""	""	""
"Solyc01g005340"	"Ankyrin repeat-containing protein"	"AT2G01680"	"Ankyrin repeat family protein"	""	""	"LOC_Os02g50270"	"ankyrin repeat-containing protein, putative, expressed"
"Solyc01g005370"	"Calcium-dependent protein kinase"	"AT1G24620"	"EF hand calcium-binding protein family"	""	""	"LOC_Os01g72100"	"OsCML10 - Calmodulin-related calcium sensor protein, expressed"
"Solyc01g005390"	"Nudix hydrolase"	"AT2G01670"	"nudix hydrolase homolog 17"	""	""	"LOC_Os02g50130"	"hydrolase, NUDIX family, domain containing protein, expressed"
"Solyc01g005400"	"Caleosin"	"AT1G70680"	"Caleosin-related family protein"	""	""	"LOC_Os06g14370"	"caleosin related protein, putative, expressed"
"Solyc01g005410"	"Caleosin"	""	""	""	""	"LOC_Os06g14370"	"caleosin related protein, putative, expressed"
"Solyc01g005440"	"Jasmonate ZIM-domain protein 2"	"AT3G17860"	"jasmonate-zim-domain protein 3"	""	""	"LOC_Os09g23660"	"ZIM motif family protein, expressed"
"Solyc01g005450"	"F-box protein SKIP28"	"AT2G01620"	"RNI-like superfamily protein"	""	""	"LOC_Os08g33140"	"F-box domain containing protein, expressed"
"Solyc01g005470"	"protein PLANT CADMIUM RESISTANCE 2-like"	"AT1G14870"	"PLANT CADMIUM RESISTANCE 2"	"Cre17.g738000"	"Aggregation 2"	"LOC_Os02g36940"	"uncharacterized Cys-rich domain containing protein, putative, expressed"
"Solyc01g005480"	"transmembrane protein%2C putative (DUF677)"	"AT3G19330"	"Protein of unknown function (DUF677)"	""	""	""	""
"Solyc01g005530"	"nuclear polyadenylated RNA-binding protein"	"AT3G13480"	""	""	""	""	""
"Solyc01g005550"	"DUF239 domain-containing protein/DUF4409 domain-containing protein"	"AT1G55360"	"Protein of Unknown Function (DUF239)"	""	""	"LOC_Os07g38590"	"carboxyl-terminal peptidase, putative, expressed"
"Solyc01g005580"	"hypothetical protein (DUF1639)"	"AT1G55340"	"Protein of unknown function (DUF1639)"	""	""	"LOC_Os03g59250"	"expressed protein"
"Solyc01g005590"	""	""	""	""	""	""	""
"Solyc01g005600"	"5'-adenylylsulfate reductase-like 5"	"AT3G03860"	"APR-like 5"	""	""	"LOC_Os03g59170"	"OsAPRL5 adenosine 5'-phosphosulfate reductase-like OsAPRL5, expressed"
"Solyc01g005610"	"GDSL esterase/lipase"	""	""	"Cre02.g144010"	"(1 of 11) 3.1.1.5 - Lysophospholipase / Phospholipase B"	""	""
"Solyc01g005620"	"oxoglutarate/malate translocator"	"AT5G19760"	"Mitochondrial substrate carrier family protein"	"Cre16.g672650"	"Mitochondrial substrate carrier protein"	"LOC_Os05g11780"	"mitochondrial carrier protein, putative, expressed"
"Solyc01g005640"	"Histidine-tRNA ligase"	""	""	""	""	"LOC_Os02g04450"	"plant-specific domain TIGR01589 family protein, putative, expressed"
"Solyc01g005670"	"BTB/POZ domain-containing protein"	"AT4G10800"	"(1 of 1) PTHR31060:SF8 - F8M12.23 PROTEIN"	""	""	""	""
"Solyc01g005680"	"Cytokinin riboside 5'-monophosphate phosphoribohydrolase"	""	""	"Cre07.g340900"	"(1 of 1) PTHR31223:SF11 - LOG FAMILY PROTEIN YJL055W"	""	""
"Solyc01g005690"	"Calcium ion binding protein"	"AT4G08810"	"calcium ion binding"	""	""	""	""
"Solyc01g005770"	""	""	""	""	""	""	""
"Solyc01g005800"	"Calmodulin binding protein"	"AT3G13600"	"calmodulin-binding family protein"	""	""	"LOC_Os07g43970"	"calmodulin-binding protein, putative, expressed"
"Solyc01g005840"	"Ubiquitin conjugating enzyme"	"AT3G13550"	"Ubiquitin-conjugating enzyme family protein"	""	""	"LOC_Os07g38940"	"ubiquitin-conjugating enzyme, putative, expressed"
"Solyc01g005900"	"Transferase"	""	""	""	""	""	""
"Solyc01g005910"	"Acid phosphatase/vanadium-dependent haloperoxidase-related protein"	"AT3G12685"	"Acid phosphatase/vanadium-dependent haloperoxidase-related protein"	""	""	"LOC_Os06g33930"	"Divergent PAP2 family domain containing protein, expressed"
"Solyc01g005970"	"F-box/kelch-repeat protein"	"AT1G55270"	"Galactose oxidase/kelch repeat superfamily protein"	""	""	"LOC_Os10g26990"	"OsFBK23 - F-box domain and kelch repeat containing protein, expressed"
"Solyc01g005980"	"transmembrane protein%2C putative (Protein of unknown function%2C DUF538)"	"AT5G19860"	"Protein of unknown function, DUF538"	""	""	"LOC_Os03g48710"	"expressed protein"
"Solyc01g006040"	"E3 ubiquitin protein ligase"	"AT1G55250"	"histone mono-ubiquitination 2"	"Cre14.g625802"	"(1 of 1) K10696 - E3 ubiquitin-protein ligase BRE1 [6.3.2.19] (BRE1)"	"LOC_Os10g41590"	"zinc finger, C3HC4 type domain containing protein, expressed"
"Solyc01g006050"	"transmembrane protein 45B-like"	"AT1G55230"	"Family of unknown function (DUF716)"	"Cre06.g299350"	"Flagellar/basal body protein 15"	"LOC_Os09g27260"	"plant viral response family protein, putative, expressed"
"Solyc01g006110"	"PP2A regulatory subunit TAP46"	"AT5G53000"	"2A phosphatase associated protein of 46 kD"	"Cre09.g395621"	"(1 of 1) PTHR10933:SF9 - LD07294P"	"LOC_Os12g04290"	"PP2A regulatory subunit TAP46, putative, expressed"
"Solyc01g006140"	"CDT1-like protein a, chloroplastic"	"AT2G31270"	"homolog of yeast CDT1 A"	""	""	"LOC_Os04g10650"	"CDT1A - Putative DNA replication initiation protein, expressed"
"Solyc01g006160"	"60S acidic ribosomal protein .1"	"AT4G00810"	"60S acidic ribosomal protein family"	"Cre17.g738300"	"Acidic ribosomal protein P1"	"LOC_Os08g02340"	"60S acidic ribosomal protein, putative, expressed"
"Solyc01g006170"	"Eukaryotic rRNA processing"	"AT3G22660"	"rRNA processing protein-related"	"Cre07.g351750"	"(1 of 1) K14823 - rRNA-processing protein EBP2 (EBP2, EBNA1BP2)"	"LOC_Os07g29320"	"rRNA-processing protein EBP2, putative, expressed"
"Solyc01g006200"	""	""	""	""	""	""	""
"Solyc01g006230"	"Cysteine protease"	"AT2G44140"	"Peptidase family C54 protein"	"Cre12.g510100"	"Autophagy-related protein"	"LOC_Os04g58560"	"cysteine protease ATG4, putative, expressed"
"Solyc01g006240"	"Inactive protein restricted tev movement.1"	""	""	""	""	""	""
"Solyc01g006250"	"F-box protein"	""	""	""	""	""	""
"Solyc01g006320"	"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family"	"AT3G20600"	"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family"	""	""	""	""
"Solyc01g006330"	"Plastid-lipid associated protein PAP / fibrillin family protein"	"AT1G51110"	"Plastid-lipid associated protein PAP / fibrillin family protein"	"Cre03.g176350"	"plastid lipid associated protein"	"LOC_Os07g28790"	"PAP fibrillin family domain containing protein, expressed"
"Solyc01g006360"	"Callose synthase 9"	""	""	""	""	""	""
"Solyc01g006390"	"Pistil extensin like protein, partial CDS only"	""	""	""	""	""	""
"Solyc01g006400"	"Pistil extensin like protein, partial CDS only"	""	""	""	""	""	""
"Solyc01g006630"	"NAD(P)-binding Rossmann-fold superfamily protein"	"AT3G20790"	"NAD(P)-binding Rossmann-fold superfamily protein"	"Cre01.g023300"	"(1 of 1) 1.1.1.370 - Scyllo-inositol 2-dehydrogenase (NAD(+))"	"LOC_Os09g10820"	"oxidoreductase domain protein, putative, expressed"
"Solyc01g006710"	"Helicase"	""	""	""	""	""	""
"Solyc01g006810"	"E3 ubiquitin-protein ligase RHF2A-like"	""	""	""	""	""	""
"Solyc01g006830"	"Protein WVD2-like.1"	"AT2G35880"	"TPX2 (targeting protein for Xklp2) protein family"	""	""	"LOC_Os11g36340"	"lymphoid organ expressed yellow head virus receptor protein, putative, expressed"
"Solyc01g006870"	"Polyketide cyclase/dehydrase/lipid transport superfamily protein"	"AT5G06440"	"(1 of 2) PTHR34560:SF1 - POLYKETIDE CYCLASE/DEHYDRASE AND LIPID TRANSPORT SUPERFAMILY PROTEIN"	""	""	"LOC_Os11g36070"	"expressed protein"
"Solyc01g006880"	"Histone-lysine N-methyltransferase ATXR7"	"AT5G42400"	"SET domain protein 25"	""	""	""	""
"Solyc01g006890"	"EEIG1/EHB.1"	"AT3G11760"	"(1 of 1) PTHR31182:SF2 - F26K24.5 PROTEIN"	""	""	"LOC_Os03g44670"	"expressed protein"
